Record Name,Established,Company Name,Cellar Door Address,T,F,W,Facebook,Twitter,GI Zone,GI Region,All CEO,CEO,All Winemaker,Winemakers,All Sales,All Marketing,Sales & Marketing Manager,Vineyards,Variety used in production,Tonnes Crushed,Cases,Production,Storage Capacity,Fermentation Capacity,Products,Brands,Exports to,Site Facilities,Other Services,Cellar Door Location,URL,ID,SRC,Winery Address,Chief Executives,Formerly,Senior Winemaker/Production,Winemaker,Vineyard Manager (Frankland River),Vineyard Manager (Margaret River),All Restaurant,Cellar Door/Restaurant Manager,Distributors,Winery Location,Chief Executive,All Prod Mgr,Chief Winemaker/Production Manager/Marketing Manager,Vineyard Address,Contract Winemaker,Viticulturist,Vineyard Location,Manager,All Managment,Directors,All Owner,Proprietors,Viticulturist/Production Manager,Office Administration,Partner,Chief Executive Officer,Chief Operations Officer,General Manager Asia Pacific,Group Chief Winemaker,Group White Winemaker,Group Sparkling Winemaker,Group Viticulturist,Group Bulk Wine Trading Manager,Brand PR Executive - Australia,Director,Director/Proprietor,Chief Executive/Owners,Chief Winemaker,Partners,Assistant Winemaker/Viticulturist/Production Manager,Marketing,Owners,Chief Winemaker/Brand & Marketing Manager,Production & Export,Executive Director Marketing,Production Manager,General Manager,Contract Winemaker/Viticulture Consultant,Cellar Door Supervisor,Owner,Assistant Winemaker,Senior Winemaker,Vineyard Manager,Accounts/Marketing,Wholesale,Viticulturist/Production Manager/Marketing,Sales Manager,Brand Manager,Marketing Manager,Export Manager,Consultant Winemaker,Export & National Sales,Sales Director,Viticulturists,Production Manager/Marketing,Managing Director,All Board,Company Secretary,General Manager Operations,Master Distiller,Director Sales & Marketing,Export Manager (UK/Eupart),Human Resources Manager,Consultant Viticulturist,Contract Winemakers,Global Senior Brand Manager - SA Brands,Chief Executive/Owner,Production Manager/Marketing & Sales Manager,Director/General Manager,Finance Manager,Viticulturist & Grower Liaison Officer/Sales & Marketing Manager,Production Manager/Sales & Marketing Manager,Proprietor,Assistant Winemaker/Vineyard Manager,Cellar Door,Manager - Production & Wine Supply,Marketing Director,Sales & Marketing,Viticulturists/Production Managers,Master of Wine
1847 Wines,1996,1847 Winery (SA) Pty Ltd,"159 Hermann Thumm Drive, Lyndoch, SA 5351",(08) 8524 0200,(08) 8524 0240,www.1847wines.com,chateauyaldara,@ChateauYaldara,Barossa,Barossa Valley,Marc Davies (CEO),Marc Davies,"Alex Peel, Derek Fitzgerald (Winemakers)","Alex Peel, Derek Fitzgerald",Toby Yap (Sales & Marketing Manager),"Toby Yap (Sales & Marketing Manager), Eighteen forty-seven, '1847', Yaldara (Brands)",Toby Yap,67.68 ha,"Cabernet Franc, Cabernet Sauvignon, Chardonnay, Durif, Grenache, Malbec, Mataro, Merlot, Petit Verdot, Semillon, Shiraz, Tempranillo","1,000-2,499","20,000-49,999",Wine is made on site,"12,000,000 litres","6,000,000 litres","table, fortified and sparkling wines","Eighteen forty-seven, '1847', Yaldara","China, Vietnam","Cafe/Restaurant, Conferences/Functions, Crafts/Local Produce, Historical buildings, Picnic facilities, Tours, Tutored tastings",Contract Winemaking,"-34.576662,138.87456399999996",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=614,614,Winebiz Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Mates Wines,2003,"","",0411 111 198,"",www.2mates.com.au,"","","","","Mark Venable, David Minear (Chief Executives)","","Matt Rechner, Mark Venable, David Minear (Winemakers)","Matt Rechner, Mark Venable, David Minear","",2 Mates Wines (Brands),"","",Shiraz,Less than 10,Less than 999,Wine is made on site,"","",table and sparkling wines,2 Mates Wines,"","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=3766,3766,Winebiz Australia,"PO Box 131, McLaren Vale, SA 5171","Mark Venable, David Minear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 Oceans Wine Company Margaret River,2008,3 Oceans Wine Company Pty Ltd,"",(08) 9756 5656,(08) 9755 5722,www.3oceans.com.au,3OceansWineCompany,"",South West Australia,Great Southern + Margaret River,"","","Ben Roodhouse (Senior Winemaker/Production), Jonathan Mettam (Winemaker)","","","The Estates, The Explorers, The Rivers, Vita Novus, Baldivis Estate (export), Amadou (export), Palandri (export) (Brands)","","Frankland River, 116 ha; Margaret River, 12 ha","Cabernet Sauvignon, Chardonnay, Merlot, Pinot Gris, Sauvignon Blanc, Semillon, Shiraz, Tempranillo",500-999,"20,000-49,999",Wine is made on site,"3,200,000 litres","900,000 litres",table and sparkling wines,"The Estates, The Explorers, The Rivers, Vita Novus, Baldivis Estate (export), Amadou (export), Palandri (export)","China, Hong Kong, Singapore, Taiwan","Cafe/Restaurant, Concerts/Festivals, Conferences/Functions, Crafts/Local Produce, Gallery, Tours, Tutored tastings",Contract Winemaking,"",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=1504,1504,Winebiz Australia,"Corner Bussell Highway & Boundary Road, Metricup, WA 6280","",Palandri Wines Ltd,Ben Roodhouse,Jonathan Mettam,Kylie Stubbs,Ryan Brennan,Byron Chang (Cellar Door/Restaurant Manager),Byron Chang,ALM,"-33.813794,115.12912299999994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3WITCHES,1997,Australian Wine Brands Pty Ltd,"2/196 Anzac Highway, Plympton, SA 5038","","",3witcheswines.com,"","","","",Giovanni Cavuoto (Chief Executive),"",Giovanni Cavuoto (Chief Winemaker/Production Manager/Marketing Manager),"","","Giovanni Cavuoto (Chief Winemaker/Production Manager/Marketing Manager), 3WITCHES, Girls Spells, TETE A TETE, Red Pepper (Brands)","","","Merlot, Shiraz, Semillon, Sauvignon Blanc, Riesling, Pinot Noir, Muscat Gordo Blanco, Grenache, Chenin Blanc, Cabernet Sauvignon, Chardonnay, Pinot Gris",Less than 10,"5,000-9,999",Wine is made off site,"","",table and sparkling wines,"3WITCHES, Girls Spells, TETE A TETE, Red Pepper","","Crafts/Local Produce, Gallery, Tours","","-34.959214,138.562867",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2,2,Winebiz Australia,"","","","","","","","","","","",Giovanni Cavuoto,Giovanni Cavuoto (Chief Winemaker/Production Manager/Marketing Manager),Giovanni Cavuoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572 Richmond Road Vineyard,1995,"","",0418 889 477,"","","","",Tasmania,"","John Carney, Suzanne Carney (Chief Executives)","","Winemaking Tasmania (Contract Winemaker), Fred Peacock (Viticulturist)","","",572 Richmond Road (Brands),"",2 ha,"Chardonnay, Pinot Noir, Traminer, Riesling","",Less than 999,Wine is made off site,"","",table wine,572 Richmond Road,"","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=4,4,Winebiz Australia,"","John Carney, Suzanne Carney","","","","","","","",Domaine Wine Shippers,"","","","","572 Richmond Road, Cambridge, TAS 7170",Winemaking Tasmania,Fred Peacock,"-42.808272,147.423869",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5th Chapter Estate,1999,Manassen Holdings Pty Ltd,"",0418 483 923,(02) 4887 7041,www.fifthchapter.com.au,"","",South Coast,Southern Highlands,Cindy Manassen (Chief Executive),"",Cindy Manassen (Winemaker),"","",5th Chapter Estate (Brands),"",3.5 ha,"Pinot Noir, Sauvignon Blanc, Shiraz",Less than 10,Less than 999,Wine is made on site,"15,000 litres","15,000 litres",table wine,5th Chapter Estate,"","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2364,2364,Winebiz Australia,"217 Walkers Lane, Avoca, NSW 2577","","","",Cindy Manassen,"","","","","","-34.6130863,150.47920269999997",Cindy Manassen,"","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 Acres,1999,"","",0408 991 741,"",www.sixacreswines.com.au,sixacreswine,"",Port Phillip,Yarra Valley,"","",Aaron Zuccaro (Winemaker),"","",Six Acres (Brands),"",4 ha,"Shiraz, Riesling, Chardonnay, Merlot, Cabernet Sauvignon, Pinot Noir",Less than 10,Less than 999,Wine is made on site,"5,000 litres","5,000 litres",table wine,Six Acres,"","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=8541,8541,Winebiz Australia,"","","","",Aaron Zuccaro,"","","","","","","","","","20 Ferndale Road, Silvan, VIC 3795","","","",Ralph Zuccaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919 Wines,2005,Jamilah Pty Ltd,"",0417 997 414,"",www.919Wines.com.au,919Wines,@Blacktooth919,Lower Murray,Riverland,"","","","","","919 Wines, Ella Semmler's Orchard (Brands)","",4.9 ha,"Bianco d'Alessano, Chardonnay, Durif, Fiano, Graciano, Grenache, Montepulciano, Muscadelle, Muscat à Petits Grains, Nero d'Avola, Palomino, Petit Manseng, Petit Verdot, Sangiovese, Sauvignon Blanc, Savagnin, Shiraz, Tempranillo, Tinta Barroca, Tinta Cao, Touriga, Verdejo, Vermentino",20-49,"2,500-4,999",Wine is made on site,"29,000 litres","29,000 litres","table, fortified and organic wines","919 Wines, Ella Semmler's Orchard","","Coffee/Light Meals, Concerts/Festivals, Gallery, Picnic facilities, Tutored tastings","Bottling, Contract Winemaking","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=2304,2304,Winebiz Australia,"39 Hodges Road, Glossop, SA 5344","","","","","","","","",Whitehill Wine Co.,"-34.266848,140.56751099999997","","","","","","","","","Eric Semmler, Jenny Semmler (Directors)","Eric Semmler, Jenny Semmler",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abbey Creek Vineyard,1990,"","2388 Porongurup Road, Porongurup, WA 6324",(08) 9853 1044,(08) 9853 1040,www.abbeycreek.com.au,"","",South West Australia,Great Southern,"","","Robert Diletti (Contract Winemaker), John Russell (Viticulturist/Production Manager)","","",Abbey Creek (Brands),"",1.6 ha,"Pinot Noir, Riesling, Sauvignon Blanc",10-19,Less than 999,Wine is made off site,"","",table wine,Abbey Creek,"","","","-34.656916,117.87148000000002",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=6,6,Winebiz Australia,"","","","","","","","","","West Aust Liquor Distributors, WA; Wine Conception, VIC","","",John Russell (Viticulturist/Production Manager),"","",Robert Diletti,"","","","","","Michael Dilworth, Mary Dilworth (Proprietors)","Michael Dilworth, Mary Dilworth",John Russell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeen Wine Company,2002,Aberdeen Wine Company Pty Ltd,"",(02) 8966 9020,(02) 8966 9021,www.angusthebull.com,AngusTheBullWine,"","","",Hamish MacGowan (Chief Executive),"",Hamish MacGowan (Winemaker),"","","Angus The Bull, Wee Angus (Brands)","","","Cabernet Sauvignon, Merlot",250-499,"20,000-49,999",Wine is made off site,"","",table wine,"Angus The Bull, Wee Angus","","","","",http://winetitles.com.au/widonline/wineries/details.asp?&crap=a&ID=9,9,Winebiz Australia,"PO Box 611, Manly, NSW 1655","","","",Hamish MacGowan,"","","","","Young & Rashleigh, NSW; Thomas Chin, NT; The Wine Tradition, QLD; red+white, TAS; Santé Wines, VIC; Off the Vine Distributors, WA; Lion, NZ","",Hamish MacGowan,"","","","","","","","","","","","",Libby Kelly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
